"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30"
"Q1",1,0.35,-0.07,-0.06,0.43,0.15,0.3,0.28,0.42,-0.26,0.23,0.27,0,0.16,-0.2,0.1,0.32,0.17,0.15,-0.31,0.15,0.25,0.3,0.13,0.13,0.39,0.16,0.32,-0.27,0.13
"Q2",0.35,1,-0.11,0.09,0.25,0.13,0.43,0.13,0.43,-0.18,0.31,0.39,0.19,0.26,-0.02,0.21,0.26,0.15,0.12,-0.24,0.2,0.34,0.57,0.16,0.16,0.23,0.35,0.24,-0.12,0.19
"Q3",-0.07,-0.11,1,0.13,-0.05,-0.04,-0.09,0.06,-0.06,0.06,-0.09,-0.07,-0.12,0.04,0.02,-0.12,-0.11,0,-0.03,0.03,-0.04,-0.04,-0.08,-0.13,-0.03,-0.05,-0.06,-0.06,0.06,-0.02
"Q4",-0.06,0.09,0.13,1,-0.1,-0.01,-0.01,-0.04,-0.04,0.11,0.02,0.1,0.05,0.15,0.14,0.07,-0.07,0.09,0.05,0.06,0.16,-0.02,0.01,0,0.13,0.03,0.09,-0.09,0.06,0.06
"Q5",0.43,0.25,-0.05,-0.1,1,0.17,0.26,0.21,0.41,-0.34,0.21,0.24,0.06,0.11,-0.24,0.06,0.41,0.16,0.06,-0.4,0.06,0.26,0.23,0.13,0.09,0.47,0.12,0.3,-0.24,0.14
"Q6",0.15,0.13,-0.04,-0.01,0.17,1,0.27,0.1,0.17,-0.13,0.27,0.24,0.07,0.19,-0.09,0.18,0.19,0.08,0.26,-0.11,0.25,0.26,0.24,0.17,0.28,0.18,0.12,0.13,-0.07,0.2
"Q7",0.3,0.43,-0.09,-0.01,0.26,0.27,1,0.14,0.42,-0.23,0.37,0.42,0.13,0.28,-0.13,0.15,0.34,0.14,0.13,-0.3,0.17,0.39,0.5,0.21,0.16,0.31,0.39,0.38,-0.16,0.25
"Q8",0.28,0.13,0.06,-0.04,0.21,0.1,0.14,1,0.21,-0.14,0.1,0.11,-0.01,0.1,-0.13,-0.03,0.16,0.09,0.08,-0.12,0.09,0.2,0.14,0.04,0.07,0.18,0.09,0.18,-0.11,0.07
"Q9",0.42,0.43,-0.06,-0.04,0.41,0.17,0.42,0.21,1,-0.4,0.28,0.35,0.15,0.21,-0.23,0.11,0.4,0.1,0.06,-0.42,0.14,0.34,0.41,0.17,0.14,0.42,0.24,0.42,-0.25,0.08
"Q10",-0.26,-0.18,0.06,0.11,-0.34,-0.13,-0.23,-0.14,-0.4,1,-0.2,-0.15,0,-0.1,0.22,-0.04,-0.47,-0.1,-0.09,0.41,-0.09,-0.08,-0.16,-0.06,-0.08,-0.36,-0.07,-0.28,0.29,-0.05
"Q11",0.23,0.31,-0.09,0.02,0.21,0.27,0.37,0.1,0.28,-0.2,1,0.37,0.19,0.26,-0.05,0.31,0.33,0.18,0.18,-0.23,0.27,0.31,0.35,0.24,0.25,0.21,0.32,0.28,-0.2,0.22
"Q12",0.27,0.39,-0.07,0.1,0.24,0.24,0.42,0.11,0.35,-0.15,0.37,1,0.19,0.26,0.01,0.2,0.29,0.17,0.15,-0.22,0.21,0.3,0.39,0.21,0.22,0.23,0.36,0.25,-0.07,0.17
"Q13",0,0.19,-0.12,0.05,0.06,0.07,0.13,-0.01,0.15,0,0.19,0.19,1,0.18,0.05,0.15,0.09,0.04,0.01,-0.03,0.1,0.16,0.18,0.35,0.09,0.04,0.21,0.03,0.01,0.08
"Q14",0.16,0.26,0.04,0.15,0.11,0.19,0.28,0.1,0.21,-0.1,0.26,0.26,0.18,1,-0.01,0.2,0.21,0.28,0.18,-0.15,0.29,0.21,0.27,0.16,0.28,0.16,0.28,0.17,-0.1,0.2
"Q15",-0.2,-0.02,0.02,0.14,-0.24,-0.09,-0.13,-0.13,-0.23,0.22,-0.05,0.01,0.05,-0.01,1,0.06,-0.15,-0.02,-0.05,0.22,0.01,-0.13,-0.03,-0.05,-0.02,-0.2,0.03,-0.22,0.19,-0.06
"Q16",0.1,0.21,-0.12,0.07,0.06,0.18,0.15,-0.03,0.11,-0.04,0.31,0.2,0.15,0.2,0.06,1,0.2,0.15,0.13,-0.07,0.21,0.15,0.17,0.13,0.2,0.09,0.2,0.13,-0.12,0.14
"Q17",0.32,0.26,-0.11,-0.07,0.41,0.19,0.34,0.16,0.4,-0.47,0.33,0.29,0.09,0.21,-0.15,0.2,1,0.16,0.12,-0.36,0.16,0.25,0.27,0.21,0.12,0.37,0.18,0.38,-0.21,0.14
"Q18",0.17,0.15,0,0.09,0.16,0.08,0.14,0.09,0.1,-0.1,0.18,0.17,0.04,0.28,-0.02,0.15,0.16,1,0.18,-0.11,0.19,0.13,0.17,0.13,0.17,0.2,0.21,0.15,-0.13,0.31
"Q19",0.15,0.12,-0.03,0.05,0.06,0.26,0.13,0.08,0.06,-0.09,0.18,0.15,0.01,0.18,-0.05,0.13,0.12,0.18,1,-0.09,0.49,0.17,0.13,0.05,0.46,0.09,0.11,0.11,-0.06,0.19
"Q20",-0.31,-0.24,0.03,0.06,-0.4,-0.11,-0.3,-0.12,-0.42,0.41,-0.23,-0.22,-0.03,-0.15,0.22,-0.07,-0.36,-0.11,-0.09,1,-0.1,-0.2,-0.24,-0.09,-0.08,-0.43,-0.12,-0.35,0.28,-0.03
"Q21",0.15,0.2,-0.04,0.16,0.06,0.25,0.17,0.09,0.14,-0.09,0.27,0.21,0.1,0.29,0.01,0.21,0.16,0.19,0.49,-0.1,1,0.19,0.18,0.11,0.75,0.13,0.19,0.12,-0.07,0.16
"Q22",0.25,0.34,-0.04,-0.02,0.26,0.26,0.39,0.2,0.34,-0.08,0.31,0.3,0.16,0.21,-0.13,0.15,0.25,0.13,0.17,-0.2,0.19,1,0.47,0.23,0.21,0.2,0.28,0.29,-0.18,0.2
"Q23",0.3,0.57,-0.08,0.01,0.23,0.24,0.5,0.14,0.41,-0.16,0.35,0.39,0.18,0.27,-0.03,0.17,0.27,0.17,0.13,-0.24,0.18,0.47,1,0.26,0.2,0.19,0.37,0.28,-0.12,0.25
"Q24",0.13,0.16,-0.13,0,0.13,0.17,0.21,0.04,0.17,-0.06,0.24,0.21,0.35,0.16,-0.05,0.13,0.21,0.13,0.05,-0.09,0.11,0.23,0.26,1,0.18,0.15,0.25,0.16,-0.07,0.16
"Q25",0.13,0.16,-0.03,0.13,0.09,0.28,0.16,0.07,0.14,-0.08,0.25,0.22,0.09,0.28,-0.02,0.2,0.12,0.17,0.46,-0.08,0.75,0.21,0.2,0.18,1,0.13,0.2,0.09,-0.07,0.18
"Q26",0.39,0.23,-0.05,0.03,0.47,0.18,0.31,0.18,0.42,-0.36,0.21,0.23,0.04,0.16,-0.2,0.09,0.37,0.2,0.09,-0.43,0.13,0.2,0.19,0.15,0.13,1,0.16,0.4,-0.28,0.12
"Q27",0.16,0.35,-0.06,0.09,0.12,0.12,0.39,0.09,0.24,-0.07,0.32,0.36,0.21,0.28,0.03,0.2,0.18,0.21,0.11,-0.12,0.19,0.28,0.37,0.25,0.2,0.16,1,0.29,-0.04,0.22
"Q28",0.32,0.24,-0.06,-0.09,0.3,0.13,0.38,0.18,0.42,-0.28,0.28,0.25,0.03,0.17,-0.22,0.13,0.38,0.15,0.11,-0.35,0.12,0.29,0.28,0.16,0.09,0.4,0.29,1,-0.2,0.15
"Q29",-0.27,-0.12,0.06,0.06,-0.24,-0.07,-0.16,-0.11,-0.25,0.29,-0.2,-0.07,0.01,-0.1,0.19,-0.12,-0.21,-0.13,-0.06,0.28,-0.07,-0.18,-0.12,-0.07,-0.07,-0.28,-0.04,-0.2,1,-0.04
"Q30",0.13,0.19,-0.02,0.06,0.14,0.2,0.25,0.07,0.08,-0.05,0.22,0.17,0.08,0.2,-0.06,0.14,0.14,0.31,0.19,-0.03,0.16,0.2,0.25,0.16,0.18,0.12,0.22,0.15,-0.04,1
