"","MR1","MR2","MR3","MR4","MR5","MR6"
"Q1",0.53,-0.18,-0.14,-0.13,0.03,0.17
"Q2",0.6,0.01,0.25,-0.22,-0.11,0.03
"Q5",0.53,-0.33,-0.2,0.06,0.06,0.23
"Q7",0.64,-0.05,0.19,-0.14,0.01,-0.1
"Q9",0.65,-0.27,-0.04,-0.06,-0.21,0.04
"Q10",-0.43,0.31,0.31,-0.1,0.05,0.17
"Q11",0.55,0.13,0.11,0.12,0.05,-0.22
"Q12",0.56,0.06,0.17,-0.01,-0.03,-0.06
"Q13",0.24,0.14,0.33,0.4,-0.19,0.12
"Q16",0.3,0.19,0.08,0.12,0.07,-0.18
"Q17",0.58,-0.22,-0.16,0.19,0.03,-0.18
"Q18",0.32,0.13,-0.04,0.05,0.38,0.07
"Q19",0.3,0.41,-0.26,-0.08,0.07,-0.01
"Q20",-0.5,0.31,0.22,-0.02,0.07,0.04
"Q21",0.42,0.67,-0.38,-0.02,-0.14,-0.01
"Q22",0.53,0.06,0.18,-0.1,-0.04,0.07
"Q23",0.64,0.05,0.35,-0.24,-0.07,0.05
"Q24",0.35,0.11,0.23,0.36,-0.03,0.15
"Q25",0.41,0.65,-0.33,0.01,-0.13,0.08
"Q26",0.54,-0.29,-0.26,0.08,0.08,0.13
"Q27",0.48,0.15,0.28,0.01,0.07,-0.07
"Q28",0.54,-0.19,-0.06,-0.01,0.07,-0.09
"Q30",0.33,0.19,0.11,-0.01,0.41,0.07
