"","MR1","MR2","MR3","MR6","MR4","MR5"
"Q1",0.25,0.06,0.49,-0.05,-0.07,0.05
"Q2",0.69,0.03,0.04,-0.03,0,-0.04
"Q5",0.02,-0.02,0.67,0,0.07,0.06
"Q7",0.58,-0.02,0.02,0.19,-0.02,0.08
"Q9",0.41,0.02,0.37,0.13,0.05,-0.21
"Q10",0.05,-0.04,-0.33,-0.43,0.06,0.1
"Q11",0.25,0.11,-0.12,0.38,0.15,0.13
"Q12",0.41,0.07,0,0.15,0.11,0.05
"Q13",0.01,0,-0.03,-0.02,0.63,-0.07
"Q16",0.09,0.12,-0.17,0.27,0.11,0.14
"Q17",0.02,0.02,0.26,0.48,0.08,0.04
"Q18",-0.03,0.08,0.18,0.03,0.01,0.46
"Q19",0.01,0.53,0.02,0.03,-0.12,0.14
"Q20",-0.11,-0.02,-0.4,-0.26,0.04,0.1
"Q21",0,0.9,-0.04,0.04,-0.02,-0.02
"Q22",0.47,0.07,0.09,-0.04,0.08,0.05
"Q23",0.78,0,-0.01,-0.07,0.03,0.03
"Q24",-0.01,0.02,0.11,0,0.55,0.08
"Q25",-0.01,0.85,0.03,-0.06,0.05,0
"Q26",-0.02,0.03,0.6,0.13,0.03,0.08
"Q27",0.4,0.02,-0.13,0.12,0.16,0.17
"Q28",0.23,-0.03,0.24,0.27,-0.04,0.08
"Q30",0.12,0.02,0.07,-0.02,0.01,0.51
