"","Q1","Q2","Q5","Q7","Q9","Q10","Q11","Q12","Q13","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q30"
"Q1",0.62,0.04,0.03,-0.03,0.01,0.03,0.02,0.02,-0.02,0.03,0,0,0.02,0.03,0,-0.02,-0.02,0.01,-0.02,0,-0.01,0,-0.02
"Q2",0.04,0.52,0,-0.03,0.01,-0.02,-0.01,0.01,0.03,0.05,0,0.02,0,0,0.02,-0.05,0.04,-0.04,-0.03,0,0,-0.05,0
"Q5",0.03,0,0.52,-0.02,-0.02,0.01,0.02,0.02,0.01,0.01,0.03,-0.02,-0.02,-0.01,-0.01,0.03,-0.01,-0.02,0.01,0,-0.02,-0.04,0.01
"Q7",-0.03,-0.03,-0.02,0.52,0,0,-0.01,0.02,-0.01,-0.05,-0.01,-0.04,0,0,0,0.01,-0.01,0.01,0.01,0.03,0.03,0.03,0.03
"Q9",0.01,0.01,-0.02,0,0.45,-0.03,-0.02,0,0.02,0,-0.02,0.01,-0.02,0.01,0,0.01,-0.02,-0.01,0.01,0,0,0.03,0.01
"Q10",0.03,-0.02,0.01,0,-0.03,0.58,0.01,0.03,-0.01,0.04,-0.06,-0.02,-0.02,0.02,0.01,0.05,-0.04,0,-0.01,0.02,0.01,0.04,-0.03
"Q11",0.02,-0.01,0.02,-0.01,-0.02,0.01,0.6,0.02,-0.01,0.06,-0.01,-0.02,-0.01,-0.01,0,0.02,-0.01,0,0,-0.01,-0.02,-0.01,0
"Q12",0.02,0.01,0.02,0.02,0,0.03,0.02,0.65,0,0,0,0.01,0,0,-0.01,-0.03,-0.03,-0.02,0.01,0,0.03,-0.03,-0.03
"Q13",-0.02,0.03,0.01,-0.01,0.02,-0.01,-0.01,0,0.61,0.01,-0.01,0.01,0.02,-0.01,0.02,-0.01,-0.01,0,-0.03,0,0,-0.03,0.01
"Q16",0.03,0.05,0.01,-0.05,0,0.04,0.06,0,0.01,0.82,0.03,0.02,-0.01,0,0,-0.01,-0.01,-0.03,0,0.01,-0.01,-0.01,-0.02
"Q17",0,0,0.03,-0.01,-0.02,-0.06,-0.01,0,-0.01,0.03,0.52,-0.01,0.01,0.04,0.01,0.02,0.03,0.03,-0.01,-0.04,-0.04,0,0.01
"Q18",0,0.02,-0.02,-0.04,0.01,-0.02,-0.02,0.01,0.01,0.02,-0.01,0.73,0,-0.02,0.01,-0.03,0.01,-0.01,-0.01,0.01,0.02,-0.02,0.02
"Q19",0.02,0,-0.02,0,-0.02,-0.02,-0.01,0,0.02,-0.01,0.01,0,0.67,-0.01,0,0.03,0,0,0,-0.02,-0.02,0.01,0.01
"Q20",0.03,0,-0.01,0,0.01,0.02,-0.01,0,-0.01,0,0.04,-0.02,-0.01,0.6,0,0,-0.01,0.01,0.01,-0.02,0,-0.01,0.02
"Q21",0,0.02,-0.01,0,0,0.01,0,-0.01,0.02,0,0.01,0.01,0,0,0.21,-0.01,-0.01,-0.02,0,0.01,0,0.01,-0.01
"Q22",-0.02,-0.05,0.03,0.01,0.01,0.05,0.02,-0.03,-0.01,-0.01,0.02,-0.03,0.03,0,-0.01,0.67,0.04,0.01,0,-0.02,-0.02,0.03,0
"Q23",-0.02,0.04,-0.01,-0.01,-0.02,-0.04,-0.01,-0.03,-0.01,-0.01,0.03,0.01,0,-0.01,-0.01,0.04,0.4,0.03,0.01,-0.03,-0.03,-0.02,0.02
"Q24",0.01,-0.04,-0.02,0.01,-0.01,0,0,-0.02,0,-0.03,0.03,-0.01,0,0.01,-0.02,0.01,0.03,0.65,0.03,0,0.01,0.02,0
"Q25",-0.02,-0.03,0.01,0.01,0.01,-0.01,0,0.01,-0.03,0,-0.01,-0.01,0,0.01,0,0,0.01,0.03,0.28,0.01,0.01,-0.01,0
"Q26",0,0,0,0.03,0,0.02,-0.01,0,0,0.01,-0.04,0.01,-0.02,-0.02,0.01,-0.02,-0.03,0,0.01,0.53,0.02,0.05,-0.02
"Q27",-0.01,0,-0.02,0.03,0,0.01,-0.02,0.03,0,-0.01,-0.04,0.02,-0.02,0,0,-0.02,-0.03,0.01,0.01,0.02,0.66,0.07,-0.02
"Q28",0,-0.05,-0.04,0.03,0.03,0.04,-0.01,-0.03,-0.03,-0.01,0,-0.02,0.01,-0.01,0.01,0.03,-0.02,0.02,-0.01,0.05,0.07,0.66,-0.01
"Q30",-0.02,0,0.01,0.03,0.01,-0.03,0,-0.03,0.01,-0.02,0.01,0.02,0.01,0.02,-0.01,0,0.02,0,0,-0.02,-0.02,-0.01,0.67
